index,input 1,input 2
1,explain difference between state and action.,explain difference between state and nation.
2,explain the difference between charge and voltage.,explain the difference between charge and pay.
3,Describe the role of state in political science.,Describe the role of state in control theory.
4,"In political science, what does the term state refer to?","In control theory, what does the term state refer to?"
5,Explain what charge means in electromagnetism.,Explain what charge means in criminal law.
6,Explain how the word charge is used in electromagnetism.,Explain how the word charge is used in criminal law.
7,Describe the role of charge in electromagnetism.,Describe the role of charge in criminal law.
8,"In electromagnetism, what does the term charge refer to?","In criminal law, what does the term charge refer to?"
9,Explain what field means in physics.,Explain what field means in agriculture.
10,Explain how the word field is used in physics.,Explain how the word field is used in agriculture.
11,Describe the role of field in physics.,Describe the role of field in agriculture.
12,"In physics, what does the term field refer to?","In agriculture, what does the term field refer to?"
13,Explain what field means in mathematics.,Explain what field means in sports.
14,Explain how the word field is used in mathematics.,Explain how the word field is used in sports.
15,Describe the role of field in mathematics.,Describe the role of field in sports.
16,"In mathematics, what does the term field refer to?","In sports, what does the term field refer to?"
17,Explain what current means in electric circuits.,Explain what current means in oceanography.
18,Explain how the word current is used in electric circuits.,Explain how the word current is used in oceanography.
19,Describe the role of current in electric circuits.,Describe the role of current in oceanography.
20,"In electric circuits, what does the term current refer to?","In oceanography, what does the term current refer to?"
21,Explain what current means in news media.,Explain what current means in history.
22,Explain how the word current is used in news media.,Explain how the word current is used in history.
23,Describe the role of current in news media.,Describe the role of current in history.
24,"In news media, what does the term current refer to?","In history, what does the term current refer to?"
25,Explain what network means in social science.,Explain what network means in computer networking.
26,Explain how the word network is used in social science.,Explain how the word network is used in computer networking.
27,Describe the role of network in social science.,Describe the role of network in computer networking.
28,"In social science, what does the term network refer to?","In computer networking, what does the term network refer to?"
29,Explain what network means in social science.,Explain what network means in power systems.
30,Explain how the word network is used in social science.,Explain how the word network is used in power systems.
31,Describe the role of network in social science.,Describe the role of network in power systems.
32,"In social science, what does the term network refer to?","In power systems, what does the term network refer to?"
33,Explain what load means in web servers.,Explain what load means in power systems.
34,Explain how the word load is used in web servers.,Explain how the word load is used in power systems.
35,Describe the role of load in web servers.,Describe the role of load in power systems.
36,"In web servers, what does the term load refer to?","In power systems, what does the term load refer to?"
37,Explain what load means in mechanical engineering.,Explain what load means in psychology.
38,Explain how the word load is used in mechanical engineering.,Explain how the word load is used in psychology.
39,Describe the role of load in mechanical engineering.,Describe the role of load in psychology.
40,"In mechanical engineering, what does the term load refer to?","In psychology, what does the term load refer to?"
41,Explain what power means in political science.,Explain what power means in electrical engineering.
42,Explain how the word power is used in political science.,Explain how the word power is used in electrical engineering.
43,Describe the role of power in political science.,Describe the role of power in electrical engineering.
44,"In political science, what does the term power refer to?","In electrical engineering, what does the term power refer to?"
45,Explain what power means in statistics.,Explain what power means in operating systems.
46,Explain how the word power is used in statistics.,Explain how the word power is used in operating systems.
47,Describe the role of power in statistics.,Describe the role of power in operating systems.
48,"In statistics, what does the term power refer to?","In operating systems, what does the term power refer to?"
